date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2017-01-01,5877,17200,8317,4593,4701,3072
2018-01-01,3400,11114,6212,3603,3771,4892
2019-01-01,4865,17159,2833,1842,4015,1265
2020-01-01,4288,8536,3715,2132,3414,1882
2021-01-01,3701,9574,4347,2604,4193,2665
