date,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-01-01,1,1,2018,1,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
2018-01-02,1,1,2018,2,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
2018-01-03,1,1,2018,3,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
2018-01-04,1,1,2018,4,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
2018-01-05,1,1,2018,5,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
2018-01-06,1,1,2018,6,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
2018-01-08,1,1,2018,8,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
2018-01-09,1,1,2018,9,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
2018-01-10,1,1,2018,10,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
2018-01-11,1,1,2018,11,1642819.0127077224,2667.592920353982,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262455,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294119,118.84695475113121,86.30246380090499,17.02963142417044
