date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2010-07-01,99.52,100.41,100.07,100.74,100.62,100.3
2010-08-01,100.61,100.34,100.62,101.19,100.76,100.69
2010-09-01,101.83,100.88,101.82,100.67,100.96,100.81
2010-10-01,100.44,100.32,100.16,100.28,100.58,100.79
2010-11-01,100.6,100.55,100.35,100.95,101.01,101.1
2010-12-01,101.12,101.01,101.08,101.24,101.11,101.13
2011-01-01,101.66,102.27,102.24,102.34,103.18,103.05
2011-02-01,101.43,100.68,100.95,101.01,100.91,100.84
2011-03-01,100.4,100.53,100.54,100.81,100.32,100.93
2011-04-01,100.63,100.47,100.56,100.15,100.39,100.53
2011-05-01,100.34,100.6,100.9,100.24,100.41,100.5
2011-06-01,100.03,100.59,100.31,100.19,100.19,100.43
2011-07-01,100.01,99.96,100.29,100.27,99.73,100.18
2011-08-01,99.88,99.55,100.28,99.8,99.55,99.95
2011-09-01,100.17,99.85,100.1,99.92,99.98,100.01
2011-10-01,100.44,100.44,100.14,100.74,100.55,100.44
2011-11-01,100.42,100.24,100.08,100.6,100.64,100.72
2011-12-01,100.57,100.52,100,100.12,100.66,100.39
2012-01-01,100.44,100.36,100.54,100.26,100.45,100.31
2012-02-01,100.54,100.2,100.76,100.2,100.33,100.11
2012-03-01,100.7,100.5,100.52,100.53,100.75,100.41
2012-04-01,100.15,100.3,100.12,100.23,100.26,100.28
2012-05-01,100.65,100.32,100.76,100.5,100.56,100.42
2012-06-01,101.16,100.92,100.81,100.87,100.84,100.59
2012-07-01,100.62,101.41,101.2,101.42,101.79,101.4
2012-08-01,100.1,100.01,100.16,100.33,100.07,101.02
2012-09-01,100.59,100.39,100.63,100.25,100.73,100.74
2012-10-01,100.56,100.3,100.18,100.49,100.41,100.29
2012-11-01,100.44,100.23,100.33,100.36,100.16,100.4
2012-12-01,100.54,100.52,100.49,100.63,100.31,100.2
2013-01-01,100.96,100.83,101.2,101.03,101.2,100.68
2013-02-01,100.67,100.45,100.45,100.55,100.37,100.32
