date,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-01-01,1,1,2018,1,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
2018-01-02,1,1,2018,2,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
2018-01-03,1,1,2018,3,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
2018-01-04,1,1,2018,4,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
2018-01-05,1,1,2018,5,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
2018-01-06,1,1,2018,6,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
2018-01-07,1,1,2018,7,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
2018-01-08,1,1,2018,8,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
2018-01-09,1,1,2018,9,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
2018-01-10,1,1,2018,10,61.1,9152634.051798472,26074.33381607531,3376.9,3161.8,12468.0,4902.0,1616.0,4369.0,28881124.15,3141279.57,12784515.87,12085811.93,957.969422755482,389.88673561039553,37.756397941681,41.14714412811394,39.29907439446379,37774430.6,15347811.1,101.13459716928055,1183.7490048879836,939.1582784114053,376.9423331975561,97318.98706042091,99915.90034623219,41238.77456890699,69.5,65.84864173350583,116.52839718603249,20.576222849155553
